Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
North East Lincolnshire,E06000012,Upper tier local authority,04/04/2020,3,50
Norfolk,E10000020,Upper tier local authority,04/04/2020,29,351
Newham,E09000025,Upper tier local authority,04/04/2020,43,544
Newcastle upon Tyne,E08000021,Upper tier local authority,04/04/2020,23,367
Milton Keynes,E06000042,Upper tier local authority,04/04/2020,10,197
Middlesbrough,E06000002,Upper tier local authority,04/04/2020,21,170
Merton,E09000024,Upper tier local authority,04/04/2020,14,372
Medway,E06000035,Upper tier local authority,04/04/2020,24,232
Manchester,E08000003,Upper tier local authority,04/04/2020,40,360
Luton,E06000032,Upper tier local authority,04/04/2020,14,223
Liverpool,E08000012,Upper tier local authority,04/04/2020,47,555
Lincolnshire,E10000019,Upper tier local authority,04/04/2020,19,301
Lewisham,E09000023,Upper tier local authority,04/04/2020,28,520
Leicestershire,E10000018,Upper tier local authority,04/04/2020,20,362
Leicester,E06000016,Upper tier local authority,04/04/2020,15,231
Leeds,E08000035,Upper tier local authority,04/04/2020,17,352
Lancashire,E10000017,Upper tier local authority,04/04/2020,90,954
Lambeth,E09000022,Upper tier local authority,04/04/2020,31,709
Knowsley,E08000011,Upper tier local authority,04/04/2020,17,176
Kirklees,E08000034,Upper tier local authority,04/04/2020,14,208
Kingston upon Thames,E09000021,Upper tier local authority,04/04/2020,11,207
Kingston upon Hull,E06000010,Upper tier local authority,04/04/2020,8,52
Kent,E10000016,Upper tier local authority,04/04/2020,67,989
Kensington and Chelsea,E09000020,Upper tier local authority,04/04/2020,7,285
Islington,E09000019,Upper tier local authority,04/04/2020,13,276
Isle of Wight,E06000046,Upper tier local authority,04/04/2020,3,31
Hounslow,E09000018,Upper tier local authority,04/04/2020,16,360
Hillingdon,E09000017,Upper tier local authority,04/04/2020,17,375
Hertfordshire,E10000015,Upper tier local authority,04/04/2020,53,1020
Herefordshire,E06000019,Upper tier local authority,04/04/2020,4,68
Havering,E09000016,Upper tier local authority,04/04/2020,21,288
Hartlepool,E06000001,Upper tier local authority,04/04/2020,6,36
Harrow,E09000015,Upper tier local authority,04/04/2020,24,496
Haringey,E09000014,Upper tier local authority,04/04/2020,17,329
Hampshire,E10000014,Upper tier local authority,04/04/2020,73,1098
Hammersmith and Fulham,E09000013,Upper tier local authority,04/04/2020,16,295
Halton,E06000006,Upper tier local authority,04/04/2020,12,109
Hackney,E09000012,Upper tier local authority,04/04/2020,24,372
Greenwich,E09000011,Upper tier local authority,04/04/2020,13,339
Gloucestershire,E10000013,Upper tier local authority,04/04/2020,44,379
Gateshead,E08000037,Upper tier local authority,04/04/2020,31,208
Essex,E10000012,Upper tier local authority,04/04/2020,84,1084
Enfield,E09000010,Upper tier local authority,04/04/2020,19,387
East Sussex,E10000011,Upper tier local authority,04/04/2020,21,215
East Riding of Yorkshire,E06000011,Upper tier local authority,04/04/2020,14,119
Ealing,E09000009,Upper tier local authority,04/04/2020,26,544
Dudley,E08000027,Upper tier local authority,04/04/2020,27,329
Dorset,E06000059,Upper tier local authority,04/04/2020,7,129
Doncaster,E08000017,Upper tier local authority,04/04/2020,7,178
Devon,E10000008,Upper tier local authority,04/04/2020,33,251
Derbyshire,E10000007,Upper tier local authority,04/04/2020,33,562
Derby,E06000015,Upper tier local authority,04/04/2020,18,299
Darlington,E06000005,Upper tier local authority,04/04/2020,10,53
Cumbria,E10000006,Upper tier local authority,04/04/2020,52,795
Croydon,E09000008,Upper tier local authority,04/04/2020,45,742
Coventry,E08000026,Upper tier local authority,04/04/2020,18,295
County Durham,E06000047,Upper tier local authority,04/04/2020,31,304
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,04/04/2020,15,197
Cheshire West and Chester,E06000050,Upper tier local authority,04/04/2020,31,250
Cheshire East,E06000049,Upper tier local authority,04/04/2020,19,220
Central Bedfordshire,E06000056,Upper tier local authority,04/04/2020,12,185
Camden,E09000007,Upper tier local authority,04/04/2020,22,330
Cambridgeshire,E10000003,Upper tier local authority,04/04/2020,19,272
Calderdale,E08000033,Upper tier local authority,04/04/2020,8,94
Bury,E08000002,Upper tier local authority,04/04/2020,11,153
Buckinghamshire,E10000002,Upper tier local authority,04/04/2020,21,343
Bromley,E09000006,Upper tier local authority,04/04/2020,33,561
Bristol,E06000023,Upper tier local authority,04/04/2020,10,213
Brighton and Hove,E06000043,Upper tier local authority,04/04/2020,13,149
Brent,E09000005,Upper tier local authority,04/04/2020,49,807
Bradford,E08000032,Upper tier local authority,04/04/2020,21,235
Bracknell Forest,E06000036,Upper tier local authority,04/04/2020,7,76
Bournemouth,E06000058,Upper tier local authority,04/04/2020,8,123
Bolton,E08000001,Upper tier local authority,04/04/2020,23,202
Blackpool,E06000009,Upper tier local authority,04/04/2020,14,89
Blackburn with Darwen,E06000008,Upper tier local authority,04/04/2020,10,85
Birmingham,E08000025,Upper tier local authority,04/04/2020,82,1435
Bexley,E09000004,Upper tier local authority,04/04/2020,22,294
Bedford,E06000055,Upper tier local authority,04/04/2020,6,138
Bath and North East Somerset,E06000022,Upper tier local authority,04/04/2020,1,66
Barnsley,E08000016,Upper tier local authority,04/04/2020,12,240
Barnet,E09000003,Upper tier local authority,04/04/2020,39,728
Barking and Dagenham,E09000002,Upper tier local authority,04/04/2020,6,228
Yorkshire and The Humber,E12000003,Region,04/04/2020,203,3365
West Midlands,E12000005,Region,04/04/2020,333,5410
South West,E12000009,Region,04/04/2020,174,2110
South East,E12000008,Region,04/04/2020,457,6265
North West,E12000002,Region,04/04/2020,604,6516
North East,E12000001,Region,04/04/2020,254,2208
London,E12000007,Region,04/04/2020,714,13731
East of England,E12000006,Region,04/04/2020,263,3920
East Midlands,E12000004,Region,04/04/2020,189,2952
England,E92000001,Nation,04/04/2020,3325,48103
York,E06000014,Upper tier local authority,03/04/2020,8,70
Worcestershire,E10000034,Upper tier local authority,03/04/2020,36,422
Wolverhampton,E08000031,Upper tier local authority,03/04/2020,11,307
Wokingham,E06000041,Upper tier local authority,03/04/2020,8,110
Wirral,E08000015,Upper tier local authority,03/04/2020,44,253
Windsor and Maidenhead,E06000040,Upper tier local authority,03/04/2020,4,107
Wiltshire,E06000054,Upper tier local authority,03/04/2020,15,153
Wigan,E08000010,Upper tier local authority,03/04/2020,24,184
Westminster,E09000033,Upper tier local authority,03/04/2020,27,387
West Sussex,E10000032,Upper tier local authority,03/04/2020,52,366
West Berkshire,E06000037,Upper tier local authority,03/04/2020,9,101
Warwickshire,E10000031,Upper tier local authority,03/04/2020,40,427
Warrington,E06000007,Upper tier local authority,03/04/2020,16,145
Wandsworth,E09000032,Upper tier local authority,03/04/2020,27,558
Waltham Forest,E09000031,Upper tier local authority,03/04/2020,30,374
Walsall,E08000030,Upper tier local authority,03/04/2020,27,384
Wakefield,E08000036,Upper tier local authority,03/04/2020,28,178
Trafford,E08000009,Upper tier local authority,03/04/2020,26,227
Tower Hamlets,E09000030,Upper tier local authority,03/04/2020,34,345
Thurrock,E06000034,Upper tier local authority,03/04/2020,5,125
Telford and Wrekin,E06000020,Upper tier local authority,03/04/2020,7,85
Tameside,E08000008,Upper tier local authority,03/04/2020,13,162
Swindon,E06000030,Upper tier local authority,03/04/2020,7,73
Sutton,E09000029,Upper tier local authority,03/04/2020,20,297
Surrey,E10000030,Upper tier local authority,03/04/2020,63,984
Sunderland,E08000024,Upper tier local authority,03/04/2020,48,291
Suffolk,E10000029,Upper tier local authority,03/04/2020,31,270
Stoke-on-Trent,E06000021,Upper tier local authority,03/04/2020,11,108
Stockton-on-Tees,E06000004,Upper tier local authority,03/04/2020,16,113
Stockport,E08000007,Upper tier local authority,03/04/2020,31,252
Staffordshire,E10000028,Upper tier local authority,03/04/2020,47,578
St. Helens,E08000013,Upper tier local authority,03/04/2020,30,221
Southwark,E09000028,Upper tier local authority,03/04/2020,47,688
Southend-on-Sea,E06000033,Upper tier local authority,03/04/2020,18,135
Southampton,E06000045,Upper tier local authority,03/04/2020,9,166
South Tyneside,E08000023,Upper tier local authority,03/04/2020,17,99
South Gloucestershire,E06000025,Upper tier local authority,03/04/2020,10,127
Somerset,E10000027,Upper tier local authority,03/04/2020,15,120
Solihull,E08000029,Upper tier local authority,03/04/2020,20,228
Slough,E06000039,Upper tier local authority,03/04/2020,10,153
Shropshire,E06000051,Upper tier local authority,03/04/2020,19,165
Sheffield,E08000019,Upper tier local authority,03/04/2020,43,925
Sefton,E08000014,Upper tier local authority,03/04/2020,44,260
Sandwell,E08000028,Upper tier local authority,03/04/2020,31,377
Salford,E08000006,Upper tier local authority,03/04/2020,12,242
Rutland,E06000017,Upper tier local authority,03/04/2020,1,7
Rotherham,E08000018,Upper tier local authority,03/04/2020,18,239
Rochdale,E08000005,Upper tier local authority,03/04/2020,16,168
Richmond upon Thames,E09000027,Upper tier local authority,03/04/2020,15,214
Redcar and Cleveland,E06000003,Upper tier local authority,03/04/2020,17,98
Redbridge,E09000026,Upper tier local authority,03/04/2020,20,311
Reading,E06000038,Upper tier local authority,03/04/2020,8,112
Portsmouth,E06000044,Upper tier local authority,03/04/2020,10,106
Plymouth,E06000026,Upper tier local authority,03/04/2020,14,92
Peterborough,E06000031,Upper tier local authority,03/04/2020,10,71
Oxfordshire,E10000025,Upper tier local authority,03/04/2020,70,512
Oldham,E08000004,Upper tier local authority,03/04/2020,20,216
Nottinghamshire,E10000024,Upper tier local authority,03/04/2020,40,448
Nottingham,E06000018,Upper tier local authority,03/04/2020,16,185
Northumberland,E06000057,Upper tier local authority,03/04/2020,22,181
Northamptonshire,E10000021,Upper tier local authority,03/04/2020,56,473
North Yorkshire,E10000023,Upper tier local authority,03/04/2020,32,267
North Tyneside,E08000022,Upper tier local authority,03/04/2020,13,156
North Somerset,E06000024,Upper tier local authority,03/04/2020,8,77
North Lincolnshire,E06000013,Upper tier local authority,03/04/2020,13,59
North East Lincolnshire,E06000012,Upper tier local authority,03/04/2020,10,47
Norfolk,E10000020,Upper tier local authority,03/04/2020,43,322
Newham,E09000025,Upper tier local authority,03/04/2020,57,501
Newcastle upon Tyne,E08000021,Upper tier local authority,03/04/2020,32,344
Milton Keynes,E06000042,Upper tier local authority,03/04/2020,12,187
Middlesbrough,E06000002,Upper tier local authority,03/04/2020,26,149
Merton,E09000024,Upper tier local authority,03/04/2020,23,358
Medway,E06000035,Upper tier local authority,03/04/2020,15,208
Manchester,E08000003,Upper tier local authority,03/04/2020,30,320
Luton,E06000032,Upper tier local authority,03/04/2020,18,209
Liverpool,E08000012,Upper tier local authority,03/04/2020,59,508
Lincolnshire,E10000019,Upper tier local authority,03/04/2020,38,282
Lewisham,E09000023,Upper tier local authority,03/04/2020,46,492
Leicestershire,E10000018,Upper tier local authority,03/04/2020,26,342
Leicester,E06000016,Upper tier local authority,03/04/2020,25,216
Leeds,E08000035,Upper tier local authority,03/04/2020,37,335
Lancashire,E10000017,Upper tier local authority,03/04/2020,112,864
Lambeth,E09000022,Upper tier local authority,03/04/2020,39,678
Knowsley,E08000011,Upper tier local authority,03/04/2020,22,159
Kirklees,E08000034,Upper tier local authority,03/04/2020,21,194
Kingston upon Thames,E09000021,Upper tier local authority,03/04/2020,20,196
Kingston upon Hull,E06000010,Upper tier local authority,03/04/2020,10,44
Kent,E10000016,Upper tier local authority,03/04/2020,92,922
Kensington and Chelsea,E09000020,Upper tier local authority,03/04/2020,15,278
Islington,E09000019,Upper tier local authority,03/04/2020,14,263
Isle of Wight,E06000046,Upper tier local authority,03/04/2020,1,28
Hounslow,E09000018,Upper tier local authority,03/04/2020,24,344
Hillingdon,E09000017,Upper tier local authority,03/04/2020,44,358
Hertfordshire,E10000015,Upper tier local authority,03/04/2020,77,967
Herefordshire County of,E06000019,Upper tier local authority,03/04/2020,5,64
Havering,E09000016,Upper tier local authority,03/04/2020,32,267
Hartlepool,E06000001,Upper tier local authority,03/04/2020,5,30
Harrow,E09000015,Upper tier local authority,03/04/2020,23,472
Haringey,E09000014,Upper tier local authority,03/04/2020,26,312
Hampshire,E10000014,Upper tier local authority,03/04/2020,89,1025
Hammersmith and Fulham,E09000013,Upper tier local authority,03/04/2020,19,279
Halton,E06000006,Upper tier local authority,03/04/2020,18,97
Hackney,E09000012,Upper tier local authority,03/04/2020,25,348
Greenwich,E09000011,Upper tier local authority,03/04/2020,23,326
Gloucestershire,E10000013,Upper tier local authority,03/04/2020,30,335
Gateshead,E08000037,Upper tier local authority,03/04/2020,19,177
Essex,E10000012,Upper tier local authority,03/04/2020,93,1000
Enfield,E09000010,Upper tier local authority,03/04/2020,26,368
East Sussex,E10000011,Upper tier local authority,03/04/2020,12,194
East Riding of Yorkshire,E06000011,Upper tier local authority,03/04/2020,12,105
Ealing,E09000009,Upper tier local authority,03/04/2020,30,518
Dudley,E08000027,Upper tier local authority,03/04/2020,16,302
Dorset,E06000059,Upper tier local authority,03/04/2020,15,122
Doncaster,E08000017,Upper tier local authority,03/04/2020,16,171
Devon,E10000008,Upper tier local authority,03/04/2020,19,218
Derbyshire,E10000007,Upper tier local authority,03/04/2020,34,529
Derby,E06000015,Upper tier local authority,03/04/2020,22,281
Darlington,E06000005,Upper tier local authority,03/04/2020,6,43
Cumbria,E10000006,Upper tier local authority,03/04/2020,44,743
Croydon,E09000008,Upper tier local authority,03/04/2020,48,697
Coventry,E08000026,Upper tier local authority,03/04/2020,22,277
County Durham,E06000047,Upper tier local authority,03/04/2020,37,273
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,03/04/2020,18,182
Cheshire West and Chester,E06000050,Upper tier local authority,03/04/2020,36,219
Cheshire East,E06000049,Upper tier local authority,03/04/2020,14,201
Central Bedfordshire,E06000056,Upper tier local authority,03/04/2020,14,173
Camden,E09000007,Upper tier local authority,03/04/2020,19,308
Cambridgeshire,E10000003,Upper tier local authority,03/04/2020,17,253
